step,spectral_efficiency_bps_hz,throughput_bits,total_queue_bits,ric_latency_ms,reward
272,6.531123,65311.23,29237853.93,0.155743,62387.44
273,4.241565,42415.65,29368974.28,0.153417,39478.75
274,5.206740,52067.40,29491962.89,0.154470,49118.20
275,6.432151,64321.51,29603377.38,0.154509,61361.17
276,4.764963,47649.63,29732311.75,0.155260,44676.40
277,10.123706,101237.06,29806978.69,0.154256,98256.36
278,7.837467,78374.67,29902516.02,0.154777,75384.42
279,6.417197,64171.97,30015136.04,0.154371,61170.46
280,13.461687,134616.87,30056815.17,0.155623,131611.19
281,11.943261,119432.61,30114982.57,0.154471,116421.11
282,4.936708,49367.08,30241991.49,0.152404,46342.88
283,10.621469,106214.69,30312976.80,0.166068,103183.39
284,3.413723,34137.23,30456191.57,0.201438,31091.61
285,8.717532,87175.32,30544296.25,0.154967,84120.89
286,9.619189,96191.89,30621824.36,0.156883,93129.71
287,3.800759,38007.59,30759632.77,0.153893,34931.63
288,11.760737,117607.37,30817897.40,0.154087,114525.58
289,4.750002,47500.02,30944629.38,0.153076,44405.56
290,3.133869,31338.69,31090242.69,0.153945,28229.67
291,6.258378,62583.78,31202586.91,0.152950,59463.52
292,8.202689,82026.89,31295208.01,0.154307,78897.37
293,12.541990,125419.90,31345932.11,0.151305,122285.31
294,13.903593,139035.93,31383352.19,0.155421,135897.59
295,10.270888,102708.88,31456683.30,0.153472,99563.21
296,9.749451,97494.51,31535220.80,0.151578,94340.98
297,8.977638,89776.38,31621924.42,0.151675,86614.19
298,9.487765,94877.65,31702102.77,0.153877,91707.44
299,9.473798,94737.98,31785252.79,0.153477,91559.45
300,2.080439,20804.39,31942248.40,0.152270,17610.16
301,5.159152,51591.52,32068920.88,0.152462,48384.63
302,6.020503,60205.03,32185819.85,0.155298,56986.44
303,5.005274,50052.74,32310943.11,0.241640,46821.65
304,3.817478,38174.78,32449072.33,0.158777,34929.88
305,9.944559,99445.59,32524698.74,0.155620,96193.12
306,7.756294,77562.94,32624223.79,0.153693,74300.52
307,2.273877,22738.77,32777141.02,0.153719,19461.06
308,8.569246,85692.46,32866368.56,0.155025,82405.83
309,6.533644,65336.44,32975992.12,0.156391,62038.84
310,5.434979,54349.79,33098754.33,0.154593,51039.91
311,2.509875,25098.75,33249991.59,0.155447,21773.75
312,4.190175,41901.75,33383009.84,0.154796,38563.45
313,8.032443,80324.43,33477733.41,0.155438,76976.66
314,4.478798,44787.98,33609913.42,0.155614,41426.99
