agent,num_ues,carrier_freq_ghz,bandwidth_mhz,cbr_profile,speed_profile,seed,num_steps,spectral_efficiency_bps_hz,queue_delay_p95_ms,ric_latency_mean_ms,total_reward,mean_throughput_bits,mean_queue_bits
RoundRobin,30,2.0,10.0,"(4000,)","(0.0,)",43,5,15.112867,4.3689,0.008714,754427.13,151128.67,2432413.35
RoundRobin,30,2.0,10.0,"(4000,)","(0.0,)",44,5,14.287086,4.3707,0.008473,713128.00,142870.86,2452605.23
RoundRobin,30,2.0,10.0,"(4000,)","(0.0,)",45,5,14.549692,4.4563,0.008759,726262.20,145496.92,2444762.73
RoundRobin,30,2.0,10.0,"(4000,)","(0.0,)",46,5,15.194242,4.3519,0.008607,758504.00,151942.42,2416166.84
RoundRobin,30,2.0,10.0,"(4000,)","(0.0,)",47,5,14.878842,4.4620,0.009412,742723.53,148788.42,2437138.75
RoundRobin,30,2.0,10.0,"(4000,)","(0.0,)",50,5,14.829346,4.4626,0.009367,740250.12,148293.46,2434388.12
RoundRobin,30,2.0,10.0,"(4000,)","(0.0,)",49,5,15.037459,4.3521,0.009920,750657.69,150374.59,2430565.39
RoundRobin,30,2.0,10.0,"(4000,)","(0.0,)",48,5,15.782092,4.4257,0.009319,787900.13,157820.92,2408955.87
RoundRobin,30,2.0,10.0,"(4000,)","(0.0,)",51,5,16.049156,4.3451,0.009495,801257.73,160491.56,2400102.77
RoundRobin,30,0.7,10.0,"(1000,)","(3.0,)",42,5,17.001479,2.4760,0.009654,849968.03,170014.79,211885.30
RoundRobin,30,0.7,10.0,"(1000,)","(3.0,)",43,5,17.256805,2.4456,0.009227,862737.94,172568.05,204598.48
RoundRobin,30,0.7,10.0,"(1000,)","(3.0,)",44,5,16.866040,2.6141,0.008550,843194.71,168660.40,214605.29
RoundRobin,30,0.7,10.0,"(1000,)","(3.0,)",45,5,16.563854,2.5560,0.008929,828079.88,165638.54,225609.43
RoundRobin,30,0.7,10.0,"(1000,)","(3.0,)",47,5,16.619533,2.5429,0.010007,830865.16,166195.33,222984.12
RoundRobin,30,0.7,10.0,"(1000,)","(3.0,)",48,5,17.488449,2.4926,0.009530,874324.64,174884.49,195626.61
RoundRobin,30,0.7,10.0,"(1000,)","(3.0,)",46,5,17.436612,2.4062,0.008733,871734.23,174366.12,192746.01
RoundRobin,30,0.7,10.0,"(1000,)","(3.0,)",49,5,17.410306,2.5483,0.160421,870416.23,174103.06,198170.78
RoundRobin,30,2.0,10.0,"(1000,)","(3.0,)",42,5,14.387705,2.9658,0.009720,719239.87,143877.05,290797.46
RoundRobin,30,0.7,10.0,"(1000,)","(3.0,)",50,5,16.838213,2.4573,0.009249,841803.16,168382.13,214942.56
RoundRobin,30,2.0,10.0,"(1000,)","(3.0,)",43,5,14.878419,2.8158,0.009399,743783.22,148784.19,275440.36
RoundRobin,30,2.0,10.0,"(1000,)","(3.0,)",45,5,14.053888,2.9296,0.009516,702543.92,140538.88,300970.96
RoundRobin,30,0.7,10.0,"(1000,)","(3.0,)",51,5,17.830677,2.4645,0.009823,891441.35,178306.77,185006.06
RoundRobin,30,2.0,10.0,"(1000,)","(3.0,)",44,5,14.206377,2.9324,0.025702,710171.93,142063.77,293819.90
RoundRobin,30,2.0,10.0,"(1000,)","(3.0,)",46,5,15.026144,2.7221,0.010045,751174.98,150261.44,264402.63
RoundRobin,30,2.0,10.0,"(1000,)","(3.0,)",47,5,14.334528,2.8653,0.009315,716580.54,143345.28,291673.36
RoundRobin,30,2.0,10.0,"(1000,)","(3.0,)",48,5,15.298373,2.8341,0.009214,764788.08,152983.73,261142.36
RoundRobin,30,2.0,10.0,"(1000,)","(3.0,)",49,5,14.982340,2.8786,0.013050,748981.09,149823.40,271862.08
RoundRobin,30,2.0,10.0,"(1000,)","(3.0,)",50,5,14.391320,2.8856,0.009698,719422.26,143913.20,287519.74
RoundRobin,30,0.7,10.0,"(4000,)","(3.0,)",42,5,17.114166,4.3777,0.008619,854523.96,171141.66,2368666.56
RoundRobin,30,2.0,10.0,"(1000,)","(3.0,)",51,5,15.559300,2.7669,0.009380,777838.34,155593.00,253294.08
RoundRobin,30,0.7,10.0,"(4000,)","(3.0,)",43,5,17.850596,4.2444,0.009327,891354.43,178505.96,2350743.35
RoundRobin,30,0.7,10.0,"(4000,)","(3.0,)",45,5,17.294162,4.3383,0.009829,863527.06,172941.62,2362060.28
RoundRobin,30,0.7,10.0,"(4000,)","(3.0,)",44,5,17.013179,4.2331,0.010011,849473.54,170131.79,2370822.39
RoundRobin,30,0.7,10.0,"(4000,)","(3.0,)",46,5,17.920373,4.2229,0.008998,894851.46,179203.73,2334382.91
RoundRobin,30,0.7,10.0,"(4000,)","(3.0,)",49,5,17.763560,4.2047,0.009006,887003.59,177635.60,2348781.99
RoundRobin,30,0.7,10.0,"(4000,)","(3.0,)",47,5,17.635414,4.3113,0.009565,880593.65,176354.14,2354136.38
RoundRobin,30,0.7,10.0,"(4000,)","(3.0,)",48,5,18.508099,4.2905,0.009334,924241.35,185080.99,2327174.30
RoundRobin,30,0.7,10.0,"(4000,)","(3.0,)",50,5,17.582311,4.3475,0.009132,877939.65,175823.11,2351800.92
RoundRobin,30,0.7,10.0,"(4000,)","(3.0,)",51,5,18.775215,4.2110,0.010498,937601.58,187752.15,2318320.14
RoundRobin,30,2.0,10.0,"(4000,)","(3.0,)",42,5,14.388526,4.5158,0.009971,718201.11,143885.26,2450430.85
RoundRobin,30,2.0,10.0,"(4000,)","(3.0,)",44,5,14.287085,4.3707,0.010137,713127.95,142870.85,2452605.25
RoundRobin,30,2.0,10.0,"(4000,)","(3.0,)",43,5,15.112871,4.3689,0.009558,754427.35,151128.71,2432413.25
RoundRobin,30,2.0,10.0,"(4000,)","(3.0,)",45,5,14.549689,4.4563,0.009210,726262.09,145496.89,2444762.79
RoundRobin,30,2.0,10.0,"(4000,)","(3.0,)",46,5,15.194238,4.3519,0.008781,758503.84,151942.38,2416166.90
RoundRobin,30,2.0,10.0,"(4000,)","(3.0,)",47,5,14.878830,4.4620,0.009050,742722.96,148788.30,2437139.02
RoundRobin,30,2.0,10.0,"(4000,)","(3.0,)",48,5,15.782092,4.4257,0.008973,787900.10,157820.92,2408955.88
RoundRobin,30,2.0,10.0,"(4000,)","(3.0,)",51,5,16.049163,4.3451,0.010506,801258.11,160491.63,2400102.59
RoundRobin,30,2.0,10.0,"(4000,)","(3.0,)",49,5,15.037453,4.3521,0.010542,750657.36,150374.53,2430565.54
RoundRobin,30,2.0,10.0,"(4000,)","(3.0,)",50,5,14.829334,4.4626,0.010252,740249.49,148293.34,2434388.41
RoundRobin,30,0.7,10.0,"(1000,)","(20.0,)",42,5,17.001476,2.4760,0.009227,849967.85,170014.76,211885.66
RoundRobin,30,0.7,10.0,"(1000,)","(20.0,)",43,5,17.256821,2.4456,0.009182,862738.75,172568.21,204598.18
RoundRobin,30,0.7,10.0,"(1000,)","(20.0,)",45,5,16.563889,2.5560,0.009209,828081.65,165638.89,225609.00
RoundRobin,30,0.7,10.0,"(1000,)","(20.0,)",44,5,16.866026,2.6141,0.009118,843193.99,168660.26,214605.69
